item_id	marker_id	item_name	gene	rs_id	normal_allele	risk_allele
I-CNV0080	MARKER-0106	6q16 deletion	6q16 deletion	rsCNV0080	N	O
I-CNV0081	MARKER-0107	6q13-q14 deletion	6q13-q14 deletion	rsCNV0081	N	O
I-CNV0082	MARKER-0108	6q11-q14 deletion	6q11-q14 deletion	rsCNV0082	N	O
I-CNV0083	MARKER-0109	6q deletion	6q deletion	rsCNV0083	N	O
I-CNV0084	MARKER-0110	6q duplication	6q duplication	rsCNV0084	N	O
I-CNV0085	MARKER-0111	7p duplication	7p duplication	rsCNV0085	N	O
I-CNV0086	MARKER-0112	7p deletion	7p deletion	rsCNV0086	N	O
I-CNV0087	MARKER-0113	7p21 deletion	7p21 deletion	rsCNV0087	N	O
I-CNV0088	MARKER-0114	7p22.1 duplication	7p22.1 duplication	rsCNV0088	N	O
I-CNV0089	MARKER-0115	7q11.23 deletion	7q11.23 deletion	rsCNV0089	N	O
I-CNV0090	MARKER-0116	7q11.23 duplication	7q11.23 duplication	rsCNV0090	N	O
I-CNV0091	MARKER-0117	7q31 deletion	7q31 deletion	rsCNV0091	N	O
I-CNV0092	MARKER-0118	7q36.3 deletion	7q36.3 deletion	rsCNV0092	N	O
I-CNV0093	MARKER-0119	7q36.3 duplication	7q36.3 duplication	rsCNV0093	N	O
I-CNV0094	MARKER-0120	7q duplication	7q duplication	rsCNV0094	N	O
I-CNV0095	MARKER-0121	7q deletion	7q deletion	rsCNV0095	N	O
I-CNV0096	MARKER-0122	8p duplication	8p duplication	rsCNV0096	N	O
I-CNV0097	MARKER-0123	8p23.1 duplication	8p23.1 duplication	rsCNV0097	N	O
I-CNV0098	MARKER-0124	8p23.1 deletion	8p23.1 deletion	rsCNV0098	N	O
I-CNV0099	MARKER-0125	8p11.2 deletion	8p11.2 deletion	rsCNV0099	N	O
I-CNV0100	MARKER-0126	8q12 duplication	8q12 duplication	rsCNV0100	N	O
I-CNV0101	MARKER-0127	8q13 deletion	8q13 deletion	rsCNV0101	N	O
I-CNV0102	MARKER-0128	8q21.11 deletion	8q21.11 deletion	rsCNV0102	N	O
I-CNV0103	MARKER-0129	8q22.1 deletion	8q22.1 deletion	rsCNV0103	N	O
I-CNV0104	MARKER-0130	8q24.3 deletion	8q24.3 deletion	rsCNV0104	N	O
I-CNV0105	MARKER-0131	8q duplication	8q duplication	rsCNV0105	N	O
I-CNV0106	MARKER-0132	9p duplication	9p duplication	rsCNV0106	N	O
I-CNV0107	MARKER-0133	9p deletion	9p deletion	rsCNV0107	N	O
I-CNV0108	MARKER-0134	9p13 deletion	9p13 deletion	rsCNV0108	N	O
I-CNV0109	MARKER-0135	9q22.3 deletion	9q22.3 deletion	rsCNV0109	N	O
I-CNV0110	MARKER-0136	9q31.1-q31.3 deletion	9q31.1-q31.3 deletion	rsCNV0110	N	O
I-CNV0111	MARKER-0137	9q34.3 deletion	9q34.3 deletion	rsCNV0111	N	O
I-CNV0112	MARKER-0138	9q22.2-31.1 deletion	9q22.2-31.1 deletion	rsCNV0112	N	O
I-CNV0113	MARKER-0139	10p duplication	10p duplication	rsCNV0113	N	O
I-CNV0114	MARKER-0140	10p deletion	10p deletion	rsCNV0114	N	O
I-CNV0115	MARKER-0141	10p15.3 deletion	10p15.3 deletion	rsCNV0115	N	O
I-CNV0116	MARKER-0142	10p13-p14 deletion	10p13-p14 deletion	rsCNV0116	N	O
I-CNV0117	MARKER-0143	10q22.3-q23.3 duplication	10q22.3-q23.3 duplication	rsCNV0117	N	O
I-CNV0118	MARKER-0144	10q22.3-q23.3 deletion	10q22.3-q23.3 deletion	rsCNV0118	N	O
I-CNV0119	MARKER-0145	10q23 deletion	10q23 deletion	rsCNV0119	N	O
I-CNV0120	MARKER-0146	10q24 duplication	10q24 duplication	rsCNV0120	N	O
I-CNV0121	MARKER-0147	10q duplication	10q duplication	rsCNV0121	N	O
I-CNV0122	MARKER-0148	10q deletion	10q deletion	rsCNV0122	N	O
I-CNV0123	MARKER-0149	11p duplication	11p duplication	rsCNV0123	N	O
I-CNV0124	MARKER-0150	11p deletion	11p deletion	rsCNV0124	N	O
I-CNV0125	MARKER-0151	11p15.5 duplication	11p15.5 duplication	rsCNV0125	N	O
I-CNV0126	MARKER-0152	11p15.4 duplication	11p15.4 duplication	rsCNV0126	N	O
I-CNV0127	MARKER-0153	11p11.2 deletion	11p11.2 deletion	rsCNV0127	N	O
I-CNV0128	MARKER-0154	11q22.2-q22.3 deletion	11q22.2-q22.3 deletion	rsCNV0128	N	O
I-CNV0129	MARKER-0155	11q23 deletion	11q23 deletion	rsCNV0129	N	O
I-CNV0130	MARKER-0156	11q duplication	11q duplication	rsCNV0130	N	O
I-CNV0131	MARKER-0157	11q deletion	11q deletion	rsCNV0131	N	O
I-CNV0132	MARKER-0158	12p duplication	12p duplication	rsCNV0132	N	O
I-CNV0133	MARKER-0159	12p deletion	12p deletion	rsCNV0133	N	O
I-CNV0134	MARKER-0160	12p12.1 deletion	12p12.1 deletion	rsCNV0134	N	O
I-CNV0135	MARKER-0161	12q15-q21 deletion	12q15-q21 deletion	rsCNV0135	N	O
I-CNV0136	MARKER-0162	12q14 deletion	12q14 deletion	rsCNV0136	N	O
I-CNV0137	MARKER-0163	12q duplication	12q duplication	rsCNV0137	N	O
I-CNV0138	MARKER-0164	12q deletion	12q deletion	rsCNV0138	N	O
I-CNV0139	MARKER-0165	13q duplication	13q duplication	rsCNV0139	N	O
I-CNV0140	MARKER-0166	13q12.3 deletion	13q12.3 deletion	rsCNV0140	N	O
I-CNV0141	MARKER-0167	13q14 deletion	13q14 deletion	rsCNV0141	N	O
I-CNV0142	MARKER-0168	13q34 deletion	13q34 deletion	rsCNV0142	N	O
I-CNV0143	MARKER-0169	13q deletion	13q deletion	rsCNV0143	N	O
I-CNV0144	MARKER-0170	14q11-q22 deletion	14q11-q22 deletion	rsCNV0144	N	O
I-CNV0145	MARKER-0171	14q11.2 deletion	14q11.2 deletion	rsCNV0145	N	O
I-CNV0146	MARKER-0172	14q11.2 duplication	14q11.2 duplication	rsCNV0146	N	O
